Response not ok. groupID: com.sun.jersey, artifact: jersey-server, version: 1.4-ea01 in file jersey-server-1.4-ea01.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.13.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.8.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.16.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.14.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.10.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.21.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.9.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.18.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.11.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.15.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.17.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.25.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.22.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.26.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.2.5.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.24.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.19.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.23.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.12.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.9.20.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-core, version: ${parent.version} in file logback-core-0.3.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.2.5.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.19.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.12.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.21.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.20.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.17.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.14.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.3.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.9.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.26.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.8.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.18.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.22.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.23.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.24.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.10.pom
Num found not 1, instead 0. groupID: ch.qos.logback, artifact: logback-classic, version: ${parent.version} in file logback-classic-0.9.16.pom
